Merge_scenario, Total_Files, Files_Edited_By_One_Dev, Files_That_Remained_The_Same, Files_Added_By_Ove_Dev, Files_Merged, Files_With_Conflicts, ModifierList, ModifierListDS, ModifierListCL, ModifierListIFP, DefaultValueAnnotation, DefaultValueAnnotationDS, DefaultValueAnnotationCL, DefaultValueAnnotationIFP, ImplementList, ImplementListDS, ImplementListCL, ImplementListIFP, EditSameMC, EditSameMCDS, EditSameMCCL, EditSameMCIFP, AddSameFd, AddSameFdDS, AddSameFdCL, AddSameFdIFP, EditSameFd, EditSameFdDS, EditSameFdCL, EditSameFdIFP, SameSignatureCM, SameSignatureCMDS, SameSignatureCMCL, SameSignatureCMIFP, ExtendsList, ExtendsListDS, ExtendsListCL, ExtendsListIFP, NOPATTERN, smallMethod, smallMethodDS, renamedMethod, renamedMethodDS, copiedMethod, copiedMethodDS, copiedFile, copiedFileDS, noPattern, noPatternDS, PossibleRenamings
rev_41282-6db3a, 409, 0, 407, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_a100b-1383d, 681, 13, 517, 150, 151, 151, 304, 165, 0, 0, 0, 0, 0, 0, 123, 63, 0, 0, 1375, 0, 0, 0, 0, 0, 0, 0, 357, 357, 0, 0, 32, 32, 0, 0, 76, 44, 0, 0, 3072, 0, 0, 0, 0, 0, 0, 32, 32, 0, 0, 0
rev_62698-825e4, 662, 10, 534, 117, 118, 118, 241, 130, 0, 0, 0, 0, 0, 0, 96, 47, 0, 0, 954, 0, 0, 0, 0, 0, 0, 0, 277, 277, 0, 0, 30, 30, 0, 0, 63, 39, 0, 0, 2483, 0, 0, 0, 0, 0, 0, 30, 30, 0, 0, 0
rev_1443a-e98cd, 660, 10, 536, 113, 114, 114, 234, 125, 0, 0, 0, 0, 0, 0, 93, 45, 0, 0, 933, 0, 0, 0, 0, 0, 0, 0, 270, 270, 0, 0, 30, 30, 0, 0, 61, 37, 0, 0, 2426, 0, 0, 0, 0, 0, 0, 30, 30, 0, 0, 0
rev_a4f2b-7eb21, 658, 8, 540, 109, 110, 110, 228, 122, 0, 0, 0, 0, 0, 0, 92, 45, 0, 0, 911, 0, 0, 0, 0, 0, 0, 0, 269, 269, 0, 0, 30, 30, 0, 0, 59, 36, 0, 0, 2357, 0, 0, 0, 0, 0, 0, 30, 30, 0, 0, 0
rev_d8687-cd0a8, 655, 6, 545, 103, 104, 104, 220, 118, 0, 0, 0, 0, 0, 0, 90, 44, 0, 0, 882, 0, 0, 0, 0, 0, 0, 0, 265, 265, 0, 0, 29, 29, 0, 0, 58, 36, 0, 0, 2277, 0, 0, 0, 0, 0, 0, 29, 29, 0, 0, 0
rev_d8256-cd047, 653, 6, 547, 99, 100, 100, 214, 114, 0, 0, 0, 0, 0, 0, 88, 42, 0, 0, 865, 0, 0, 0, 0, 0, 0, 0, 260, 260, 0, 0, 28, 28, 0, 0, 58, 36, 0, 0, 2230, 0, 0, 0, 0, 0, 0, 28, 28, 0, 0, 0
rev_30911-b7af5, 651, 6, 549, 95, 96, 96, 206, 109, 0, 0, 0, 0, 0, 0, 84, 40, 0, 0, 837, 0, 0, 0, 0, 0, 0, 0, 252, 252, 0, 0, 28, 28, 0, 0, 57, 35, 0, 0, 2165, 0, 0, 0, 0, 0, 0, 28, 28, 0, 0, 0
rev_4495f-ed57d, 649, 6, 551, 91, 92, 92, 199, 105, 0, 0, 0, 0, 0, 0, 82, 40, 0, 0, 815, 0, 0, 0, 0, 0, 0, 0, 249, 249, 0, 0, 28, 28, 0, 0, 56, 34, 0, 0, 2093, 0, 0, 0, 0, 0, 0, 28, 28, 0, 0, 0
rev_c7ff9-56fde, 647, 6, 554, 86, 87, 87, 193, 102, 0, 0, 0, 0, 0, 0, 81, 40, 0, 0, 796, 0, 0, 0, 0, 0, 0, 0, 241, 241, 0, 0, 28, 28, 0, 0, 54, 33, 0, 0, 2016, 0, 0, 0, 0, 0, 0, 28, 28, 0, 0, 0
rev_ff14f-7484f, 645, 6, 556, 82, 83, 83, 187, 98, 0, 0, 0, 0, 0, 0, 78, 38, 0, 0, 784, 0, 0, 0, 0, 0, 0, 0, 236, 236, 0, 0, 28, 28, 0, 0, 54, 33, 0, 0, 1955, 0, 0, 0, 0, 0, 0, 28, 28, 0, 0, 0
rev_9ce04-b3e7b, 643, 6, 558, 78, 79, 79, 180, 94, 0, 0, 0, 0, 0, 0, 74, 36, 0, 0, 770, 0, 0, 0, 0, 0, 0, 0, 231, 231, 0, 0, 28, 28, 0, 0, 54, 33, 0, 0, 1885, 0, 0, 0, 0, 0, 0, 28, 28, 0, 0, 0
rev_62741-96f4b, 641, 6, 560, 74, 75, 75, 162, 79, 0, 0, 0, 0, 0, 0, 68, 32, 0, 0, 681, 0, 0, 0, 0, 0, 0, 0, 199, 199, 0, 0, 19, 19, 0, 0, 50, 29, 0, 0, 1823, 0, 0, 0, 0, 0, 0, 19, 19, 0, 0, 0
rev_53a79-91fbb, 636, 4, 566, 65, 66, 66, 142, 73, 0, 0, 0, 0, 0, 0, 62, 30, 0, 0, 599, 0, 0, 0, 0, 0, 0, 0, 186, 186, 0, 0, 10, 10, 0, 0, 44, 27, 0, 0, 1577, 0, 0, 0, 0, 0, 0, 10, 10, 0, 0, 0
rev_fadae-10956, 634, 4, 568, 61, 62, 62, 127, 61, 0, 0, 0, 0, 0, 0, 52, 22, 0, 0, 539, 0, 0, 0, 0, 0, 0, 0, 167, 167, 0, 0, 10, 10, 0, 0, 42, 25, 0, 0, 1499, 0, 0, 0, 0, 0, 0, 10, 10, 0, 0, 0
rev_a98cc-79c07, 632, 4, 570, 57, 58, 58, 116, 58, 0, 0, 0, 0, 0, 0, 42, 19, 0, 0, 467, 0, 0, 0, 0, 0, 0, 0, 132, 132, 0, 0, 10, 10, 0, 0, 37, 20, 0, 0, 1385, 0, 0, 0, 0, 0, 0, 10, 10, 0, 0, 0
rev_fe481-cc177, 630, 4, 572, 53, 54, 54, 102, 53, 0, 0, 0, 0, 0, 0, 38, 18, 0, 0, 388, 0, 0, 0, 0, 0, 0, 0, 109, 109, 0, 0, 10, 10, 0, 0, 28, 16, 0, 0, 1231, 0, 0, 0, 0, 0, 0, 10, 10, 0, 0, 0
rev_52f40-af07b, 620, 0, 586, 33, 34, 34, 59, 33, 0, 0, 0, 0, 0, 0, 27, 13, 0, 0, 263, 0, 0, 0, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1, 0, 0, 16, 11, 0, 0, 858, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0
rev_04ae3-e4cb2, 622, 3, 576, 42, 43, 43, 67, 36, 0, 0, 0, 0, 0, 0, 28, 13, 0, 0, 342, 0, 0, 0, 0, 0, 0, 0, 63, 63, 0, 0, 0, 0, 0, 0, 12, 6, 0, 0, 918, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_abdb3-f58b9, 619, 3, 578, 37, 38, 38, 60, 32, 0, 0, 0, 0, 0, 0, 25, 12, 0, 0, 311, 0, 0, 0, 0, 0, 0, 0, 58, 58, 0, 0, 0, 0, 0, 0, 11, 5, 0, 0, 818, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_ec198-7c9ab, 617, 3, 580, 33, 34, 34, 54, 28, 0, 0, 0, 0, 0, 0, 22, 10, 0, 0, 286, 0, 0, 0, 0, 0, 0, 0, 51, 51, 0, 0, 0, 0, 0, 0, 11, 5, 0, 0, 770, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_d4fd7-34177, 615, 3, 582, 29, 30, 30, 48, 24, 0, 0, 0, 0, 0, 0, 19, 8, 0, 0, 257, 0, 0, 0, 0, 0, 0, 0, 42, 42, 0, 0, 0, 0, 0, 0, 11, 5, 0, 0, 703, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_6b936-08085, 613, 3, 584, 25, 26, 26, 43, 21, 0, 0, 0, 0, 0, 0, 17, 7, 0, 0, 239, 0, 0, 0, 0, 0, 0, 0, 41, 41, 0, 0, 0, 0, 0, 0, 11, 5, 0, 0, 630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_200b6-a6b39, 611, 3, 586, 21, 22, 22, 39, 19, 0, 0, 0, 0, 0, 0, 16, 7, 0, 0, 228, 0, 0, 0, 0, 0, 0, 0, 41, 41, 0, 0, 0, 0, 0, 0, 11, 5, 0, 0, 582, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_a3a7e-e4046, 609, 3, 588, 17, 18, 18, 34, 16, 0, 0, 0, 0, 0, 0, 14, 6, 0, 0, 218, 0, 0, 0, 0, 0, 0, 0, 39, 39, 0, 0, 0, 0, 0, 0, 11, 5, 0, 0, 543, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_923ea-817fb, 607, 3, 590, 13, 14, 14, 26, 10, 0, 0, 0, 0, 0, 0, 11, 4, 0, 0, 167, 0, 0, 0, 0, 0, 0, 0, 23, 23, 0, 0, 0, 0, 0, 0, 10, 4, 0, 0, 505, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_21b67-e679d, 604, 1, 591, 11, 12, 12, 13, 7, 0, 0, 0, 0, 0, 0, 5, 2, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 7, 7, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_c0b01-fbaa5, 601, 1, 593, 6, 7, 7, 7, 4, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_a2a46-f4d46, 599, 0, 595, 3, 4, 4, 2, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 7, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_4e0ce-0f19e, 672, 246, 220, 205, 206, 206, 320, 159, 0, 0, 0, 0, 0, 0, 81, 41, 0, 0, 1395, 0, 0, 0, 0, 0, 0, 0, 214, 214, 0, 0, 7, 7, 0, 0, 131, 63, 0, 0, 2775, 0, 0, 0, 0, 0, 0, 7, 7, 0, 0, 0
rev_83407-682f4, 690, 239, 298, 143, 153, 151, 205, 87, 0, 0, 0, 0, 0, 0, 39, 17, 0, 0, 876, 0, 0, 0, 0, 0, 0, 0, 120, 120, 0, 0, 6, 6, 0, 0, 91, 38, 0, 0, 2251, 0, 0, 0, 0, 0, 0, 6, 6, 0, 0, 0
rev_7a857-ceff9, 669, 108, 460, 99, 101, 101, 157, 64, 0, 0, 0, 0, 0, 0, 32, 14, 0, 0, 621, 0, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 0, 0, 0, 65, 26, 0, 0, 1531, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_ec7eb-eb92e, 573, 13, 545, 14, 15, 15, 28, 4, 0, 0, 0, 0, 0, 0, 13, 2, 0, 0, 167, 0, 0, 0, 0, 0, 0, 0, 6, 6, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 363, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_485c2-35e45, 512, 24, 464, 22, 24, 23, 37, 12, 0, 0, 0, 0, 0, 0, 12, 5, 0, 0, 163, 0, 0, 0, 0, 0, 0, 0, 25, 25, 0, 0, 2, 2, 0, 0, 7, 0, 0, 0, 531, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0
rev_3d984-0e5a0, 509, 32, 451, 24, 26, 26, 23, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 532, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_92ba6-1a7e5, 432, 125, 203, 102, 104, 104, 158, 31, 0, 0, 0, 0, 0, 0, 57, 3, 0, 0, 901, 0, 0, 0, 0, 0, 0, 0, 14, 14, 0, 0, 25, 25, 0, 0, 30, 0, 0, 0, 1710, 0, 0, 0, 0, 0, 0, 25, 25, 0, 0, 0
rev_c4974-eb295, 442, 28, 409, 3, 5, 5, 3, 1, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 179, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0
rev_62220-ed89e, 374, 20, 346, 7, 8, 8, 20, 5, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 322, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_ff565-8d77f, 375, 2, 351, 21, 22, 22, 26, 5, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 0, 0, 8, 0, 0, 0, 396, 0, 0, 0, 0, 0, 0, 7, 7, 0, 0, 0
rev_6c4b5-5df8e, 213, 23, 184, 5, 6, 6, 10, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_72172-243e6, 197, 11, 181, 4, 5, 5, 8, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_d3d27-128e5, 189, 109, 38, 40, 42, 42, 69, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 16, 0, 0, 0, 718, 1, 1, 0, 0, 0, 0, 3, 3, 0, 0, 0
rev_57f9a-2e625, 194, 0, 185, 7, 9, 9, 22, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 66, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 291, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
